objectid,parentid,filename,image_small,image_thumb,identifier,type,format,display_template,archive,artifact_type,title,creator,date,time_period,site_building,location,latitude,longitude,relocated_from,ethnic_group,religious_affiliation,names,subject,description,image_alt_text,source,original_source,additional_citation,object_location,language,copyright_holder,rights,rightsstatement
claraglen_29_1,,claraglen_29_1.png,,,IMG_5280.HEIC,record,image/jpeg,multiple,Pets in America,Gravestone; Funerary Art,"Two Cat Effigies in the Clara Glen Pet Cemetery of Linwood, NJ",,n.d.,n.d.,Clara Glen Pet Cemetery,"Linwood, NJ",39.331908,-74.58293,,"""I want a cat"" she said",,,Cat; Cats; Effigy; Cat effigy; Multiple pets,"Two Cat Effigies in the Clara Glen Pet Cemetery of Linwood, NJ.",,"Laura Leibman, photographer, 2024",,,,eng,,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/
claraglen_29_2,claraglen_29_1,claraglen_29_2.png,,,IMG_5281.HEIC,Image;StillImage,image/jpeg,image,,,Close-up of First Cat Effigy,,,,,,,,,,,,,,,,,,,,,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/
claraglen_29_3,claraglen_29_1,claraglen_29_3.png,,,IMG_5282.HEIC,Image;StillImage,image/jpeg,image,,,Close-up of Second Cat Effigy,,,,,,,,,,,,,,,,,,,,,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/
claraglen_30,,claraglen_30.png,,,IMG_5283.HEIC,Image;StillImage,image/jpeg,image,Pets in America,Gravestone; Funerary Art,"Gravestone of Arno (d. 1945), great dane of Hillelson family in the Clara Glen Pet Cemetery of Linwood, NJ",,1945,1940s; 20th century,Clara Glen Pet Cemetery,"Linwood, NJ",39.331908,-74.58293,,,,Arno; Hillelson,Arno; Hillelson; Dog; Great Dane; Upright,"Gravestone of Arno (d. 1945), Great Dane of Hillelson in the Clara Glen Pet Cemetery of Linwood, NJ. Arno was born in 1935 and died in 1945 at the age of 10.",,"Laura Leibman, photographer, 2024",,,,eng,,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/
claraglen_31,,claraglen_31.png,,,5284.HEIC,Image;StillImage,image/jpeg,image,Pets in America,Gravestone; Funerary Art,"Gravestone of Cocker Honey (d. 1959), pet of F. Robinson in the Clara Glen Pet Cemetery of Linwood, NJ",,1959,1950s; 20th century,Clara Glen Pet Cemetery,"Linwood, NJ",39.331908,-74.58293,,,,Honey,Upright; 13 years old; Dog; Cocker Spaniel; Cocker; Honey,"Gravestone of Honey (d. 1959), Cocker of F. Robinson in the Clara Glen Pet Cemetery of Linwood, NJ. Honey was born in 1946 and died in 1959 at the age of 13.",,"Laura Leibman, photographer, 2024",,,,eng,,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/
claraglen_32,,claraglen_32.png,,,5285.HEIC,Image;StillImage,image/jpeg,image,Pets in America,Gravestone; Funerary Art,"Gravestone of Sniffy (d. 1945), pet of Geo Sherwood in the Clara Glen Pet Cemetery of Linwood, NJ",,1945,1940s; 20th century,Clara Glen Pet Cemetery,"Linwood, NJ",39.331908,-74.58293,,,,Sherwood; Sniffy,10 years old; Flat; Geo. Sherwood; Sherwood; Sniffy; Friend language,"Gravestone of Sniffy (d. 1945), pet of Geo. Sherwood in the Clara Glen Pet Cemetery of Linwood, NJ. Sniffy was born in 1935 and died in 1945 at the age of 10. The upright gravestone is inscribed ""OUR PAL"".",,"Laura Leibman, photographer, 2024",,,,eng,,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/
hartsdale_1,,hartsdale_1.png,,,IMG_5535.HEIC,Image;StillImage,image/jpeg,image,Pets in America,Gravestone; Funerary Art,"Gravestone of Lucky (d. 2016), Stern family dog in the Hartsdale Pet Cemetery of Hartsdale, NY",,2016,2010s; 21st century,Hartsdale Pet Cemetery,"Hartsdale, NY",41.021627,-73.79781,,,Jewish,Lucky; Stern,Hartsdale; Hartsdale Pet Cemetery; Child language; Love language; Friend language; Upright; Star of David; Dog; Cocker Spaniel; Cavalier; Heart; 14 years old; Lucky; Stern; Enamel photo; 2010s; 2000s; Inscription,"Gravestone of Lucky (d. 2016), Stern family dog in the Hartsdale Pet Cemetery of Hartsdale, NY. Lucky was born on July 4th, 2002 and died on December 2nd, 2016 at the age of 14. The upright gravestone contains an enamel photo of Lucky, an engraving of the Star of David and a heart, and is inscribed ""OUR LITTLE BABY / LUV YOU ALWAYS / BFF"".",,"Laura Leibman, photographer, 2024",,,,eng,,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/
hartsdale_2,,hartsdale_2.png,,,,record,multiple,multiple,,,,,,,,,,,,,,,,,,,,,,,,,
hartsdale_2_1,hartoct_2,hartsdale_2_1.png,,,IMG_5582.HEIC,Image;StillImage,image/jpeg,image,Pets in America,Gravestone; Funerary Art,"Gravestone of Terry (d. 2001), Filardi family dog in the Hartsdale Pet Cemetery of Hartsdale, NY",,2001,2000s; 21st century,Hartsdale Pet Cemetery,"Hartsdale, NY",41.021627,-73.79781,,,Christian,Terry; Filardi,Child language; Hartsdale Pet Cemetery; Enamel photo; Cross; Priest; Upright; Terry; Filardi; 16 years old; Dog; Inscription,"Gravestone of Terry (d. 2001), Filardi family dog in the Hartsdale Pet Canine of Hartsdale, NY. Terry died in 2001 at the age of 16. Gravestone contains two enamel photos, one of Terry and one of a priest, as well as an engraving of a cross. The upright gravestone is inscribed ""OUR LITTLE MAN"".",,"Laura Leibman, photographer, 2024",,,,eng,,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/
hartsdale_2_2,hartoct_2,hartsdale_2_2.png,,,IMG_5583.HEIC,Image;StillImage,image/jpeg,image,,,Priest Enamel Close-up,,,,,,,,,,,,,,,,,,,,,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/
hartsdale_3,,hartsdale_3.png,,,,record,multiple,multiple,,,,,,,,,,,,,,,,,,,,,,,,,
hartsdale_3_1,hartoct_3,hartsdale_3_1.png,,,5519,Image;StillImage,image/jpeg,image,Pets in America,Gravestone; Funerary Art,"Entrance to the Hartsdale Pet Cemetery in Hartsdale, NY",,n/a,,Hartsdale Pet Cemetery,"Hartsdale, NY",41.021627,-73.79781,,,,,Sign; Cemetery,"Entrance to the Hartsdale Pet Cemetery in Hartsdale, NY. In view is a metal entrance gate, a path with stairs and a field of gravestones. Signs on gate include cemetery hours, 24-hr surveillance watch alert, and rules and regulations of the grounds.",,"Laura Leibman, photographer, 2024",,,,eng,,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/
